City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
467,Road Town,VG,82.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
475,Bac Lieu,VN,82.62,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
478,San Patricio,US,86.18,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
482,Senador Jose Porfirio,BR,82.47,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
487,Honolulu,US,78.62,scattered clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
492,Dolores,AR,78.17,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
498,Oroville,US,77.77,clear sky,39.5138,-121.5564,"Holiday Inn Express & Suites Oroville Lake, an IHG Hotel"
502,Riyadh,SA,84.34,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
503,Prado,BR,82.54,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
508,Pangkalanbuun,ID,75.61,few clouds,-2.6833,111.6167,Grand Kecubung Hotel
509,La Plata,AR,78.04,clear sky,-34.9215,-57.9545,Hotel Corregidor
510,Sai Buri,TH,79.2,few clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
511,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
513,Ocampo,MX,80.76,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
516,Ambon,ID,81.3,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
519,Neuquen,AR,71.49,moderate rain,-38.9516,-68.0591,Hotel del Comahue
520,Sao Sebastiao,BR,76.23,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
521,Mogadishu,SO,83.52,clear sky,2.0371,45.3438,Hotel Juba
522,Uthal,PK,82.65,clear sky,25.8072,66.6219,Al-Mustafa Hotel
524,Jieshi,CN,80.94,clear sky,22.8134,115.8257,Yuehai Hotel
526,Cajuru,BR,81.9,few clouds,-21.2753,-47.3042,Hotel Tropical Cajuru
532,Sheboygan,US,71.38,clear sky,43.7333,-87.9334,Baymont by Wyndham Plymouth
533,Ariquemes,BR,87.01,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
540,Sokoni,TZ,83.01,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
542,Sao Filipe,CV,76.05,clear sky,14.8961,-24.4956,Hotel Xaguate
543,Champaign,US,77.07,broken clouds,40.1334,-88.2001,"Comfort Suites Urbana Champaign, University Area"
544,Gaozhou,CN,76.75,scattered clouds,21.9392,110.8461,望江楼旅业
545,Touros,BR,81.37,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
546,Tahta,EG,80.44,clear sky,26.7693,31.5021,فندق الزيات
547,Itaquyry,PY,81.72,overcast clouds,-24.9333,-55.2167,Posada Santa Celina
552,Pinhao,BR,75.72,clear sky,-25.6956,-51.6597,Pinhão Park Hotel
553,Marinette,US,71.65,clear sky,45.1,-87.6307,AmericInn by Wyndham Menominee
557,Huicungo,PE,89.13,overcast clouds,-7.2833,-76.8,Gran Pajaten Trek
559,Awbari,LY,80.15,overcast clouds,26.5921,12.7805,فندق أوباري
561,Ambulu,ID,76.01,light rain,-8.345,113.6058,Hotel Ambulu Jember
565,Coshocton,US,84.47,scattered clouds,40.272,-81.8596,Roscoe Motor Inn
568,Coromandel,BR,82.47,broken clouds,-18.4733,-47.2003,Hotel Dona Adélia
570,Labuhan,ID,78.69,overcast clouds,-6.8844,112.2051,DoubleFAG
571,Celestun,MX,87.76,clear sky,20.8667,-90.4,Posada Lilia
573,Noumea,NC,73.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
575,Beeville,US,89.29,overcast clouds,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
576,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
578,Inhambane,MZ,75.18,few clouds,-23.865,35.3833,Oceano
580,Hambantota,LK,81.52,heavy intensity rain,6.1241,81.1185,Bungalow 63
582,Atar,MR,88.05,clear sky,20.5169,-13.0499,Oumou Elghoura
588,Buraydah,SA,71.44,overcast clouds,26.326,43.975,Mövenpick Qassim
589,Itarema,BR,80.78,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
591,Tutoia,BR,82.18,few clouds,-2.7619,-42.2744,Pousada Guará's
