City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,Puerto Ayora,-0.7393,-90.3518,72.68,90,14,6.42,EC,2022-04-23 01:10:47
184,Puerto Escondido,15.85,-97.0667,83.23,65,75,3.44,MX,2022-04-23 01:10:48
185,Dingle,10.9995,122.6711,84.38,72,51,10.47,PH,2022-04-23 01:10:48
186,Constitucion,-35.3333,-72.4167,57.31,89,91,1.83,CL,2022-04-23 01:10:49
187,La Ronge,55.1001,-105.2842,35.87,90,100,4.74,CA,2022-04-23 01:11:49
188,Geraldton,-28.7667,114.6,72.01,40,0,23.02,AU,2022-04-23 01:11:50
189,Bambous Virieux,-20.3428,57.7575,75.45,60,20,13.8,MU,2022-04-23 01:11:50
190,Aykhal,66.0,111.5,12.4,88,100,6.35,RU,2022-04-23 01:11:51
191,Killybegs,54.6333,-8.45,46.98,77,1,10.74,IE,2022-04-23 01:11:51
192,Emerald,-23.5333,148.1667,72.34,72,82,18.39,AU,2022-04-23 01:11:08
193,Badou,7.5833,0.6,74.14,91,100,2.68,TG,2022-04-23 01:11:52
194,Yeniseysk,58.4497,92.1703,21.83,77,100,10.74,RU,2022-04-23 01:11:53
195,Novoagansk,61.9449,76.6625,10.71,86,100,14.23,RU,2022-04-23 01:11:53
196,Ormara,25.2088,64.6357,79.48,81,0,8.72,PK,2022-04-23 01:11:54
197,Tarauaca,-8.1614,-70.7656,74.5,91,94,2.98,BR,2022-04-23 01:11:54
198,Mombaca,-5.7431,-39.6275,74.16,81,100,3.44,BR,2022-04-23 01:11:55
199,Faanui,-16.4833,-151.75,79.88,71,53,4.65,PF,2022-04-23 01:11:55
200,Cape Town,-33.9258,18.4232,59.34,70,0,14.0,ZA,2022-04-23 01:11:56
201,Ixtapa,20.7,-105.2,76.23,78,20,10.36,MX,2022-04-23 01:11:56
202,Kaeo,-35.1,173.7833,69.33,60,48,10.85,NZ,2022-04-23 01:11:57
203,Pekan,3.4836,103.3996,80.98,85,18,3.29,MY,2022-04-23 01:08:10
204,Kisangani,0.5167,25.2,71.04,92,76,1.45,CD,2022-04-23 01:11:57
205,Hudson Bay,52.85,-102.3842,36.57,93,100,6.2,CA,2022-04-23 01:11:58
206,Ugoofaaru,5.6667,73.0,82.63,72,100,2.95,MV,2022-04-23 01:07:44
207,Saskylakh,71.9167,114.0833,2.48,96,100,4.38,RU,2022-04-23 01:11:59
208,Puerto Ayacucho,5.6639,-67.6236,77.52,82,19,2.86,VE,2022-04-23 01:11:59
209,Mbekenyera,-10.0,38.9833,69.87,95,100,2.21,TZ,2022-04-23 01:12:00
210,Tupik,54.4253,119.9327,29.77,63,100,7.74,RU,2022-04-23 01:12:00
211,Leh,34.1667,77.5833,34.74,69,77,3.18,IN,2022-04-23 01:12:01
212,Tuy Hoa,13.0833,109.3,81.84,72,25,1.03,VN,2022-04-23 01:12:02
213,Avarua,-21.2078,-159.775,80.65,78,100,13.8,CK,2022-04-23 01:10:05
214,Rosiori,44.8,27.3833,51.28,72,8,7.99,RO,2022-04-23 01:12:03
215,Guaruja,-23.9931,-46.2564,74.1,76,5,4.83,BR,2022-04-23 01:12:05
216,Sorong,-0.8833,131.25,79.43,84,100,2.44,ID,2022-04-23 01:12:06
217,Inhambane,-23.865,35.3833,71.02,83,100,3.47,MZ,2022-04-23 01:12:07
218,Chokurdakh,70.6333,147.9167,13.59,92,100,5.77,RU,2022-04-23 01:10:05
219,Jalu,29.0331,21.5482,74.17,13,25,10.22,LY,2022-04-23 01:12:08
220,Neyshabur,36.2133,58.7958,61.81,55,100,7.58,IR,2022-04-23 01:12:08
221,Meulaboh,4.1363,96.1285,79.61,87,96,1.59,ID,2022-04-23 01:12:09
222,Bulalacao,12.3254,121.3435,83.93,68,100,17.16,PH,2022-04-23 01:12:09
223,Thompson,55.7435,-97.8558,34.66,88,26,2.82,CA,2022-04-23 01:11:26
224,Bethel,41.3712,-73.414,55.8,35,0,4.61,US,2022-04-23 01:12:11
225,Owando,-0.4819,15.8999,72.82,95,100,1.68,CG,2022-04-23 01:12:12
226,Comodoro Rivadavia,-45.8667,-67.5,51.66,71,100,13.8,AR,2022-04-23 01:10:23
227,Dunedin,-45.8742,170.5036,61.02,46,4,7.18,NZ,2022-04-23 01:12:13
228,Irpa Irpa,-17.7167,-66.2667,66.25,33,12,1.41,BO,2022-04-23 01:13:14
229,Victoria Point,-27.5833,153.3,73.69,91,36,7.0,AU,2022-04-23 01:13:14
230,Port Hardy,50.6996,-127.4199,49.19,79,100,2.68,CA,2022-04-23 01:13:15
231,Akniste,56.1615,25.7478,43.38,73,49,5.7,LV,2022-04-23 01:13:15
232,Karratha,-20.7377,116.8463,87.46,21,0,15.9,AU,2022-04-23 01:13:16
233,Neiafu,-18.65,-173.9833,83.08,78,40,2.3,TO,2022-04-23 01:13:16
234,Takoradi,4.8845,-1.7554,80.17,86,68,7.14,GH,2022-04-23 01:13:17
235,Saint-Augustin,51.226,-58.6502,32.95,99,100,3.83,CA,2022-04-23 01:13:17
236,Namatanai,-3.6667,152.4333,84.16,72,37,7.23,PG,2022-04-23 01:13:17
237,Sabang,5.8933,95.3214,84.07,73,100,6.93,ID,2022-04-23 01:13:18
238,Del Rio,29.3627,-100.8968,89.71,37,0,20.71,US,2022-04-23 01:13:18
239,Grand Gaube,-20.0064,57.6608,75.6,70,6,5.99,MU,2022-04-23 01:13:19
240,Dajabon,19.5488,-71.7083,73.04,85,93,5.95,DO,2022-04-23 01:13:19
241,Ribeira Grande,38.5167,-28.7,57.45,71,100,11.18,PT,2022-04-23 01:13:20
242,Capoterra,39.1763,8.9718,54.54,93,0,4.61,IT,2022-04-23 01:13:20
243,Hobart,-42.8794,147.3294,60.26,59,20,12.66,AU,2022-04-23 01:13:21
244,Hualmay,-11.0964,-77.6139,66.65,90,89,7.27,PE,2022-04-23 01:13:21
245,Lompoc,34.6391,-120.4579,62.69,70,0,20.71,US,2022-04-23 01:12:06
246,Provideniya,64.3833,-173.3,33.75,63,13,1.9,RU,2022-04-23 01:13:22
247,Nyagan,62.1406,65.3936,8.29,95,64,0.72,RU,2022-04-23 01:13:22
248,Nanortalik,60.1432,-45.2371,34.75,99,100,6.13,GL,2022-04-23 01:13:23
249,Kedougou,12.5579,-12.1743,88.68,16,100,6.22,SN,2022-04-23 01:13:23
250,Praia Da Vitoria,38.7333,-27.0667,56.75,81,70,7.78,PT,2022-04-23 01:13:24
251,Vagur,61.4732,-6.8119,43.63,78,100,23.24,FO,2022-04-23 01:13:24
252,Contamana,-7.3333,-75.0167,78.26,71,11,3.71,PE,2022-04-23 01:13:25
253,Salalah,17.0151,54.0924,80.69,78,0,3.44,OM,2022-04-23 01:10:05
254,Codrington,-38.2667,141.9667,61.57,56,17,10.42,AU,2022-04-23 01:13:25
255,Carnarvon,-24.8667,113.6333,78.87,36,0,11.5,AU,2022-04-23 01:08:55
256,Lebu,-37.6167,-73.65,54.97,91,100,12.88,CL,2022-04-23 01:13:26
257,Belmonte,-15.8631,-38.8828,76.98,80,0,6.2,BR,2022-04-23 01:13:26
258,College,64.8569,-147.8028,51.75,36,75,4.61,US,2022-04-23 01:13:27
259,Kristiinankaupunki,62.2743,21.376,37.33,88,8,10.74,FI,2022-04-23 01:13:27
260,Luganville,-15.5333,167.1667,80.91,86,90,9.22,VU,2022-04-23 01:13:28
261,Arti,56.4234,58.5328,31.66,77,13,5.19,RU,2022-04-23 01:13:28
